customer_key,customer_number,first_name,last_name,email,state_code,loyalty_tier,signup_date,effective_start_date,effective_end_date,is_current,record_hash,load_timestamp_utc,batch_id,source_system
0,UNKNOWN,Unknown,Unknown,,,Unknown,,1900-01-01,9999-12-31,True,,2026-08-15T12:00:00+00:00,SYSTEM,SYSTEM
7225283174107840,CUS-0100001,Heather,Barron,heather.barron.100060@example.test,GA,Platinum,2025-09-22,2026-08-15,9999-12-31,True,f08e8d07afd429b7393ff728801503f4c52c2f0f1ac5ec6ca80b414083c722f5,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
794977933153845,CUS-0100002,Christopher,Jacobs,christopher.jacobs.100059@example.test,MI,Bronze,2024-11-23,2026-08-15,9999-12-31,True,868cdebfc1def38eb8a0efcb955c5dfab471c361e69fdaa18fda95bd794bcf39,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2757805831335922,CUS-0100003,Keith,Martinez,keith.martinez.100058@example.test,NY,Silver,2025-11-23,2026-08-15,9999-12-31,True,28cdffc3a827ba6b77b83ef6cf64ae561d6b041bb5c644536282d311316267be,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7184689625878381,CUS-0100004,Arthur,Jones,bad-email-3,OH,Bronze,2026-07-01,2026-08-15,9999-12-31,True,d51ffb8d03606e06f666673cd64d1101034afe01d5911f702fc288e158ec8ff1,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7500354694182940,CUS-0100005,Cynthia,Shields,bad-email-4,CA,Silver,2025-06-14,2026-08-15,9999-12-31,True,61346a58b117eb9af470fc96e6f6aeba1d7f69a44961d32980ecac393e7ca3ec,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3316308024422010,CUS-0100006,Courtney,Walters,courtney.walters.100006@example.test,MD,Bronze,2024-10-17,2026-08-15,9999-12-31,True,5fd5083a560cbe8516ed4170a9adb6384bf4e3297b58f8081fa022f1ebc0ba83,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
2726281251948809,CUS-0100007,Sarah,Brown,sarah.brown.100007@example.test,MA,Bronze,2023-03-28,2026-08-15,9999-12-31,True,88d9f6f5e2a2ae308caaebaa71ea7d11d2ce5522f3427f7d099580205608db4e,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8817168331941856,CUS-0100008,Carl,Duncan,carl.duncan.100008@example.test,NC,Bronze,2023-05-27,2026-08-15,9999-12-31,True,696e224ef62c30de42e12a2afe8d63c57815ed81e768062f51a6c3ab1f34330b,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
7092616233756724,CUS-0100009,Michael,Shaw,michael.shaw.100009@example.test,OH,Gold,2023-10-15,2026-08-15,9999-12-31,True,9433626afeffe2d6e61ce60f1a754f579f3f137af3a182259c62720c345e1510,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
3478244574355769,CUS-0100010,John,Parker,john.parker.100010@example.test,MD,Platinum,2025-01-29,2026-08-15,9999-12-31,True,5c4240ef5f39afa8b7b7ed5351025192401d22920335d5d7fec93e36d86da82c,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8768151730083005,CUS-0100011,Amy,Cook,amy.cook.100011@example.test,WA,Bronze,2024-01-19,2026-08-15,9999-12-31,True,abadfad296b2186e2f070b6655cec290f9b09c75cd4df8fc5d706022a5e27b02,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
731624427423375,CUS-0100012,Robert,Gallegos,robert.gallegos.100012@example.test,MI,Silver,2024-12-10,2026-08-15,9999-12-31,True,5ad7a4fd8131702e3623476020f92093493b0322525fd5b565700d31db998174,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
8731009255192300,CUS-0100013,Benjamin,Perez,benjamin.perez.100013@example.test,IL,Bronze,2025-02-05,2026-08-15,9999-12-31,True,5603d9951403e6e2c97cd849b0b5fac7e089379a4c3d81e6c76a816cef343208,2026-08-15T12:00:00+00:00,GEN-20260815T120000Z-bcb100dcba34,SQLSERVER_ERP
